,Category ID,Category Name,Number,Name,Weight (in Grams),Dimensions
3104,238,"Minifigure, Head",3626bpx32,"Minifigure, Head Moustache Brown Hair, Glasses on Forehead, Raised Eyebrow Pattern - Blocked Open Stud",0.54,? x ? x ?
3105,238,"Minifigure, Head",3626bpx33,"Minifigure, Head Male Red Hair with Black Outline, Stubble Pattern - Blocked Open Stud",0.54,? x ? x ?
3106,238,"Minifigure, Head",3626bpx34,"Minifigure, Head Male Angry Black Eyebrows, Brown Wrinkles Pattern - Blocked Open Stud",0.54,? x ? x ?
3107,238,"Minifigure, Head",3626bpa3,"Minifigure, Head Moustache Black Bangs, Striped Sideburns Pattern - Blocked Open Stud",0.54,? x ? x ?
3108,238,"Minifigure, Head",3626bpa1,"Minifigure, Head Glasses with Round Glasses, Gray Lines Beard and Moustache Pattern - Blocked Open Stud",0.54,? x ? x ?
3109,238,"Minifigure, Head",3626bp69,"Minifigure, Head Male Headset Over Smile, Red-Brown Hair & Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3110,238,"Minifigure, Head",3626bpa6,"Minifigure, Head Female with Brown Hair, Eyelashes and Red Lips Pattern - Blocked Open Stud",0.54,? x ? x ?
3111,238,"Minifigure, Head",3626bpx39,"Minifigure, Head Moustache Long, Gray Headband with Red Dot Pattern - Blocked Open Stud",0.54,? x ? x ?
3112,238,"Minifigure, Head",3626bpx4,"Minifigure, Head Moustache White Hair, Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3113,238,"Minifigure, Head",3626bpx40,"Minifigure, Head Male Angry Eyebrows and 1 Red Eye Pattern - Blocked Open Stud",0.54,? x ? x ?
3114,238,"Minifigure, Head",3626bp06,"Minifigure, Head Male Eyebrows and Headset Pattern - Blocked Open Stud",0.54,? x ? x ?
3115,238,"Minifigure, Head",3626bpx42,"Minifigure, Head Female with Red Lips and Headset Pattern - Blocked Open Stud",0.54,? x ? x ?
3116,238,"Minifigure, Head",3626bpx44,"Minifigure, Head Male Messy Orange Hair, Smile Pattern - Blocked Open Stud",0.54,? x ? x ?
3117,238,"Minifigure, Head",3626bpx45,"Minifigure, Head Brown Eyebrows and Freckles Pattern - Blocked Open Stud",0.54,? x ? x ?
3118,238,"Minifigure, Head",3626bpx46,"Minifigure, Head Alien with Blue and Silver Mask Type 1 Pattern - Blocked Open Stud",0.54,? x ? x ?
3119,238,"Minifigure, Head",3626bpx48,"Minifigure, Head Female with Red Lips Wide, Small Black Eyes, Thin Eyebrows Pattern (SW Padme) - Blocked Open Stud",0.54,? x ? x ?
3120,238,"Minifigure, Head",3626bpx5,"Minifigure, Head Male Angry Eyebrows and Sideburns Ninja Pattern - Blocked Open Stud",0.54,? x ? x ?
3121,238,"Minifigure, Head",3626bps4,"Minifigure, Head Beard with SW Gray Beard and Thin Gray Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3122,238,"Minifigure, Head",3626bps3,"Minifigure, Head Male Small Black Eyebrows and Chin Dimple Pattern - Blocked Open Stud",0.54,? x ? x ?
3123,238,"Minifigure, Head",3626bp7a,"Minifigure, Head Male Brown Hair over Eye and Black Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3124,238,"Minifigure, Head",3626bpx54,"Minifigure, Head Beard Black Bushy Goatee and Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3125,238,"Minifigure, Head",3626bpx55,"Minifigure, Head Glasses with Gray Moustache, Crosseyed Pattern - Blocked Open Stud",0.54,? x ? x ?
3126,238,"Minifigure, Head",3626bpse,"Minifigure, Head Glasses with Large Sunglasses with White Streaks Pattern (SW Scout Trooper) - Blocked Open Stud",0.54,? x ? x ?
3127,238,"Minifigure, Head",3626bpx57,"Minifigure, Head Face Paint with Orange Painted Face Pattern - Blocked Open Stud",0.54,? x ? x ?
3128,238,"Minifigure, Head",3626bpx58,"Minifigure, Head Face Paint with Red and Blue Painted Lines, Eyebrows, Pupils, Nose Pattern - Blocked Open Stud",0.54,? x ? x ?
3129,238,"Minifigure, Head",3626bpx59,"Minifigure, Head Face Paint with Painted Triangles Pattern - Blocked Open Stud",0.54,? x ? x ?
3130,238,"Minifigure, Head",3626bpx6,"Minifigure, Head Male Eyebrows, Sideburns and Red Bandana Pattern - Blocked Open Stud",0.54,? x ? x ?
3135,238,"Minifigure, Head",3626bpx60,"Minifigure, Head Female with Nose, Red Lips, and Large Eyes Pattern - Blocked Open Stud",0.54,? x ? x ?
3136,238,"Minifigure, Head",3626bpx61,"Minifigure, Head Face Paint with Green and Orange Painted Face Pattern - Blocked Open Stud",0.54,? x ? x ?
3137,238,"Minifigure, Head",3626bpx62,"Minifigure, Head Glasses with Goatee Pattern - Blocked Open Stud",0.54,? x ? x ?
3138,238,"Minifigure, Head",3626bpa5,"Minifigure, Head Moustache Scruffy Raised Eyebrows, Smirk Pattern - Blocked Open Stud",0.54,? x ? x ?
3139,238,"Minifigure, Head",3626bpa7,"Minifigure, Head Glasses with Monocle, Scar, and Moustache Pattern - Blocked Open Stud",0.54,? x ? x ?
3140,238,"Minifigure, Head",3626bpx66,"Minifigure, Head Glasses with Moustache Pattern - Blocked Open Stud",0.54,? x ? x ?
3141,238,"Minifigure, Head",3626bpx67,"Minifigure, Head Female with Brown Curly Hair and Tiara, Eyelashes and Red Lips Pattern - Blocked Open Stud",0.54,? x ? x ?
3142,238,"Minifigure, Head",3626bpx68,"Minifigure, Head Moustache Curly, Gray Streaks in Hair Pattern - Blocked Open Stud",0.54,? x ? x ?
3143,238,"Minifigure, Head",3626bpx69,"Minifigure, Head Female with Red Lips and Red Hair, Angry Black Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3144,238,"Minifigure, Head",3626bpx7,"Minifigure, Head Male Gray Bandana with Gold Dot, Eyebrows, Sideburns Pattern - Blocked Open Stud",0.54,? x ? x ?
3145,238,"Minifigure, Head",3626bpx70,"Minifigure, Head Moustache and Curly Brown Hair Pattern - Blocked Open Stud",0.54,? x ? x ?
3146,238,"Minifigure, Head",3626bpx71,"Minifigure, Head Beard with White Beard and Moustache, Crow's Feet Pattern - Blocked Open Stud",0.54,? x ? x ?
3147,238,"Minifigure, Head",3626bpx72,"Minifigure, Head Male Eyepatch, Frown, Stubble and Gray Eye Pattern - Blocked Open Stud",0.54,? x ? x ?
3148,238,"Minifigure, Head",3626bpx73,"Minifigure, Head Moustache Gray Eyes, Frown Pattern - Blocked Open Stud",0.54,? x ? x ?
3149,238,"Minifigure, Head",3626bpx75,"Minifigure, Head Beard Vertical Lines with Messy Hair, Moustache Black Pattern - Blocked Open Stud",0.54,? x ? x ?
3150,238,"Minifigure, Head",3626bpx77,"Minifigure, Head Male Mask Red with Eye Holes and Moustache Pattern - Blocked Open Stud",0.54,? x ? x ?
3151,238,"Minifigure, Head",3626bpx78,"Minifigure, Head Moustache Thick Angry and Long Hair and Stubble Pattern - Blocked Open Stud",0.54,? x ? x ?
3152,238,"Minifigure, Head",3626bpx8,"Minifigure, Head Moustache Angry Eyebrows and Striped Sideburns Pattern - Blocked Open Stud",0.54,? x ? x ?
3153,238,"Minifigure, Head",3626bpx80,"Minifigure, Head Beard Vertical Lines with Messy Hair, Moustache Red, Eyepatch Pattern - Blocked Open Stud",0.54,? x ? x ?
3154,238,"Minifigure, Head",3626bpx81,"Minifigure, Head Moustache Pointed, Goatee and Stubble Pattern - Blocked Open Stud",0.54,? x ? x ?
3155,238,"Minifigure, Head",3626bpx82,"Minifigure, Head Moustache Curly, Goatee and Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3156,238,"Minifigure, Head",3626bpx83,"Minifigure, Head Female with Red Lips, Small Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3157,238,"Minifigure, Head",3626bpx84,"Minifigure, Head Male Gray Eyes and Hair Patch Pattern - Blocked Open Stud",0.54,? x ? x ?
3158,238,"Minifigure, Head",3626bpx86,"Minifigure, Head Female with Red Lips, Purple Hair and Headset Pattern - Blocked Open Stud",0.54,? x ? x ?
3159,238,"Minifigure, Head",3626bpx87,"Minifigure, Head Glasses with Blue Wrap Sunglasses and Standard Smile Pattern - Blocked Open Stud",0.54,? x ? x ?
3160,238,"Minifigure, Head",3626bpx88,"Minifigure, Head Glasses with Dark Ski Goggles Pattern - Blocked Open Stud",0.54,? x ? x ?
3161,238,"Minifigure, Head",3626bpx89,"Minifigure, Head Glasses with Blue and Red Wrap Sunglasses Pattern - Blocked Open Stud",0.54,? x ? x ?
3162,238,"Minifigure, Head",3626bpx9,"Minifigure, Head Male Eyepatch and Scruffy White Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3163,238,"Minifigure, Head",3626bpsb,"Minifigure, Head Alien with SW Large Black Eyes, Eyebrows, Pupils Pattern (Gasgano) - Blocked Open Stud",0.54,? x ? x ?
3164,238,"Minifigure, Head",3626bps7,"Minifigure, Head Male Scars Gray Left, Black Eyebrows Pattern (Darth Vader original) - Blocked Open Stud",0.54,? x ? x ?
